Mois_année,P1,P2,P3,P4,P5,P6,Time
January'18,"32,900","29,458","8,553","6,484","6,825","5,961",1
February'18,"26,429","11,128","8,632","7,894","5,840","8,541",2
March'18,"23,141","31,258","4,162","7,731","5,467","8,034",3
April'18,"23,680","25,211","3,348","2,235","6,548","2,583",4
May'18,"31,372","23,133","4,112","3,069","5,764","1,784",5
June'18,"25,779","29,350","4,739","5,051","5,877","5,581",6
July'18,"40,552","29,187","1,838","1,528","1,092","2,649",7
August'18,"35,702","33,895","3,000","2,711","3,461","7,065",8
Sept'18,"33,193","35,864","12,659","7,192","8,179","5,037",9
Oct'18,"31,012","29,751","5,424","2,603","3,528","2,378",10
Nov'18,"30,560","29,561","3,169","2,224","2,717","3,869",11
Dec'18,"22,791","15,531","3,079","1,559","3,772",912,12
January'19,"34,361","30,452","12,813","6,892","9,265","5,731",13
February'19,"32,601","28,671","5,378","3,580","2,753","4,900",14
March'19,"30,757","26,761","9,615","5,894","7,588","6,601",15
April'19,"32,730","27,845","3,012","4,542","5,785","4,389",16
May'19,"34,856","28,179","5,904","5,670","4,417","3,800",17
June'19,"35,895","33,091","4,001","3,367","1,542","3,120",18
July'19,"34,756","28,284","3,942","4,208","1,935","2,280",19
August'19,"40,651","33,123","4,831","3,307","3,579","3,401",20
Sept'19,"38,576","34,199","5,727","3,097","5,343","4,893",21
Oct'19,"24,506","22,814","4,413","3,872","4,607","3,706",22
Nov'19,"30,994","26,098","3,820","4,445","3,469","4,402",23
Dec'19,"13,278","9,371","3,719","6,892","2,493","1,916",24
January'20,"35,552","29,890","4,659","4,130","4,391","3,888",25
February'20,"24,739","17,771","4,587","6,037","3,393","2,195",26
March'20,"28,613","26,380","1,368","1,170","2,042","1,792",27
April'20,"26,442","21,874","2,677","1,844","3,911","3,191",28
May'20,"24,130","17,075","3,621","1,592","2,279","1,981",29
June'20,"28,071","25,918","18,396","1,013","18,939",871,30
July'20,"40,354","33,580","1,055","2,054",536,"1,149",31
August'20,"23,674","26,055",479,"3,240",454,"3,920",32
Sept'20,"22,686","23,026",133,"3,128",693,"4,779",33
Oct'20,"17,084","20,359","2,061","4,413","2,020","3,035",34
Nov'20,"23,925","17,458","1,731",636,331,960,35
Dec'20,"9,122","6,361",858,"3,060",81,970,36
January'21,"21,642","17,647","2,264","2,363","3,509","2,035",37
February'21,"10,832","8,282",897,788,643,"1,795",38
March'21,"16,075","15,705","2,511",536,"2,394",744,39
April'21,"14,425","10,617","1,759","1,253","1,428","1,847",40
May'21,"19,059","19,272","1,051","1,069",927,"1,129",41